
*---------- Result file number [0] ----------*
  * File name   : C:\Users\gmdms\Desktop\측정 데이터\EIS\240207 SOC별 EIS 테스트 (충방전기)\240206 SOC별 EIS 테스트 (포텐시오스텟)\Potentiostat_SOC vs EIS_1_01.SDE
  * Device Information : Channel 1 [Device 2, Device channel 1]  * Data version : 0001  * Test duration : 2024/02/06 17:52:28 ~ 2024/02/07 15:55:05
      -> Current convention : Anodic )  * Channel : 1 (Device : 2<R04BA2311016>, Device channel : 1 )
  * Firmware version : USB( 6.7.4.0 ) , FPGA( 6.7.4.3 ) , DSP( 6.7.4.7 )
  * Flow status : READY , Error status : NONE  * Data count : 1649
  * Sequence file : C:\ZIVE DATA\SM6\schedule\3.0-4.3 SoC vs EIS (CCCV).ZSC
  * Tester : 
  * Memo : 

---------------------------	---------------------------	---------------------------	---------------------------	---------------------------	
                File Number	                List Number	                  Frequency	                      Zreal	                       -Zim	
                           	                           	                         Hz	                        Ohm	                        Ohm	
---------------------------	---------------------------	---------------------------	---------------------------	---------------------------	
                          1	                        229	4.64160013199e+000	9.66130542755e+000	6.74516975880e-001	
                          1	                        230	3.16230010986e+000	9.76936340332e+000	5.99213480949e-001	
                          1	                        231	2.15440011024e+000	9.86384487152e+000	5.57460546494e-001	
                          1	                        232	1.46780002117e+000	9.95582294464e+000	5.48159718513e-001	
                          1	                        233	1.00000000000e+000	1.00488634109e+001	5.68458914757e-001	
                          1	                        234	6.81289970875e-001	1.01513996124e+001	6.19172036648e-001	
                          1	                        235	4.64159995317e-001	1.02559328079e+001	6.97453737259e-001	
                          1	                        236	3.16229999065e-001	1.03784399033e+001	8.20641219616e-001	
                          1	                        237	2.15440005064e-001	1.05268974304e+001	9.80896890163e-001	
                          1	                        238	1.46779999137e-001	1.07112979889e+001	1.18578767776e+000	
                          1	                        239	1.00000001490e-001	1.09326305389e+001	1.45962417126e+000	
                          1	                        240	6.81290030479e-002	1.11793260574e+001	1.79341757298e+000	
                          1	                        241	4.64159995317e-002	1.15003900528e+001	2.22918272018e+000	
                          1	                        242	3.16229984164e-002	1.18909521103e+001	2.80350708961e+000	
